Species Name,Formula,Image,¦¤fH¡ã(0K),delta_H(298.15K),Uncertainty,Units,Molecular ,,(Molecular,mass)
Dihydrogen,H2 (g),,0,0,exact,,2.01588 ¡À,,2.01588 ¡À,0.00014
,,,,,,,0.00014,,,
Helium,He (g),,0,0,exact,,4.0026020 ¡À,,4.0026020 ¡À,0.000002
,,,,,,,0.000002,,,
Carbon atom,C (graphite),,0,0,exact,,12.01070 ¡À,,12.01070 ¡À,0.0008
,,,,,,,0.0008,,,
Dinitrogen,N2 (g),,0,0,exact,,28.01348 ¡À,,28.01348 ¡À,0.00014
,,,,,,,0.00014,,,
Dioxygen,O2£¨g),,0,0,exact,,31.99880 ¡À,,31.99880 ¡À,0.0006
,,,,,,,0.0006,,,
Difluorine,F2 (g),,0,0,exact,,37.9968064 ¡À,,37.9968064 ¡À,0.000001
,,,,,,,0.000001,,,
Neon,Ne (g),,0,0,exact,,20.17970 ¡À,,20.17970 ¡À,0.0006
,,,,,,,0.0006,,,
Dichlorine,Cl2 (g),,0,0,exact,,70.9054 ¡À,,70.9054 ¡À,0.0018
,,,,,,,0.0018,,,
Argon,Ar (g),,0,0,exact,,39.94800 ¡À,,39.94800 ¡À,0.001
,,,,,,,0.001,,,
Dibromine,"Br2 (cr,l)",,0,0,exact,,159.8080 ¡À,,159.8080 ¡À,0.002
,,,,,,,0.002,,,
Krypton,Kr (g),,0,0,exact,,83.8000 ¡À,,83.8000 ¡À,0.1
,,,,,,,0.1,,,
Diiodine,"I2 (cr,l)",,0,0,exact,,253.808940 ¡À,,253.808940 ¡À,0.00006
,,,,,,,0.00006,,,
Xenon,Xe (g),,0,0,exact,,131.2900 ¡À,,131.2900 ¡À,0.02
,,,,,,,0.02,,,
Deuterium molecule,D2 (g),,0,0,exact,,4.02820355600 ¡À,,4.02820355600 ¡À,8.00E-10
,,,,,,,8.00E-10,,,
Hydrogen atom,H (g),,216.034,217.998,¡À 0.000,kJ/mol,1.007940 ¡À,,1.007940 ¡À,0.00007
,,,,,,,0.00007,,,
Carbon atom,C (g),,711.399,716.884,¡À 0.047,kJ/mol,12.01070 ¡À,,12.01070 ¡À,0.0008
,,,,,,,0.0008,,,
Oxygen atom,O (g),,246.844,249.229,¡À 0.0021,kJ/mol,15.99940 ¡À,,15.99940 ¡À,0.0003
,,,,,,,0.0003,,,
Nitrogen atom,N (g),,470.579,472.442,¡À 0.024,kJ/mol,14.006740 ¡À,,14.006740 ¡À,0.00007
,,,,,,,0.00007,,,
Carbon dioxide,CO2 (g),,-393.108,-393.474,¡À 0.015,kJ/mol,44.00950 ¡À,,44.00950 ¡À,0.001
,,,,,,,0.001,,,
Chlorine atom,Cl (g),,119.621,121.302,¡À 0.0011,kJ/mol,35.45270 ¡À,,35.45270 ¡À,0.0009
,,,,,,,0.0009,,,
Fluorine atom,F (g),,77.255,79.361,¡À 0.048,kJ/mol,18.99840320 ¡À,,18.99840320 ¡À,0.0000005
,,,,,,,0.0000005,,,
Methane,CH4 (g),,-66.557,-74.526,¡À 0.055,kJ/mol,16.04246 ¡À,,16.04246 ¡À,0.00085
,,,,,,,0.00085,,,
Ethane,CH3CH3 (g),,-68.35,-83.97,¡À 0.13,kJ/mol,30.0690 ¡À,,30.0690 ¡À,0.0017
,,,,,,,0.0017,,,
Water,"H2O (cr,l)",,-286.302,-285.83,¡À 0.027,kJ/mol,18.01528 ¡À,,18.01528 ¡À,0.00033
,,,,,,,0.00033,,,
Water,H2O (g),,-238.932,-241.836,¡À 0.027,kJ/mol,18.01528 ¡À,,18.01528 ¡À,0.00033
,,,,,,,0.00033,,,
Hydron,H+ (g),,1528.084,1530.047,¡À 0.000,kJ/mol,1.007391 ¡À,,1.007391 ¡À,0.00007
,,,,,,,0.00007,,,
Ethylene,CH2CH2 (g),,60.88,52.36,¡À 0.12,kJ/mol,28.0532 ¡À,,28.0532 ¡À,0.0016
,,,,,,,0.0016,,,
Bromine atom,Br (g),,117.914,111.851,¡À 0.056,kJ/mol,79.90400 ¡À,,79.90400 ¡À,0.001
,,,,,,,0.001,,,
Methanol,CH3OH (g),,-190.01,-200.89,¡À 0.15,kJ/mol,32.04186 ¡À,,32.04186 ¡À,0.0009
,,,,,,,0.0009,,,
Hydrogen chloride,HCl (g),,-91.989,-92.173,¡À 0.0062,kJ/mol,36.46064 ¡À,,36.46064 ¡À,0.0009
,,,,,,,0.0009,,,
Hydroxyl,OH (g),,37.248,37.488,¡À 0.027,kJ/mol,17.00734 ¡À,,17.00734 ¡À,0.00031
,,,,,,,0.00031,,,
Carbon monoxide,CO (g),,-113.803,-110.523,¡À 0.026,kJ/mol,28.01010 ¡À,,28.01010 ¡À,0.00085
,,,,,,,0.00085,,,
Methyl,CH3 (g),,149.872,146.458,¡À 0.060,kJ/mol,15.03452 ¡À,,15.03452 ¡À,0.00083
,,,,,,,0.00083,,,
Propane,CH3CH2CH3 (g),,-82.75,-105.03,¡À 0.18,kJ/mol,44.0956 ¡À,,44.0956 ¡À,0.0025
,,,,,,,0.0025,,,
Formaldehyde,CH2O (g),,-105.379,-109.218,¡À 0.098,kJ/mol,30.02598 ¡À,,30.02598 ¡À,0.00087
,,,,,,,0.00087,,,
Hydrogen fluoride,HF (g),,-272.677,-272.724,¡À 0.049,kJ/mol,20.006343 ¡À,,20.006343 ¡À,0.00007
,,,,,,,0.00007,,,
Hydrogen bromide,HBr (g),,-27.97,-35.82,¡À 0.14,kJ/mol,80.9119 ¡À,,80.9119 ¡À,0.001
,,,,,,,0.001,,,
Ethanol,CH3CH2OH (g),,-217.3,-235.02,¡À 0.22,kJ/mol,46.0684 ¡À,,46.0684 ¡À,0.0017
,,,,,,,0.0017,,,
Iodine atom,I (g),,107.157,106.757,¡À 0.0021,kJ/mol,126.904470 ¡À,,126.904470 ¡À,0.00003
,,,,,,,0.00003,,,
Ethyl,CH3CH2 (g),,131.06,119.99,¡À 0.27,kJ/mol,29.0611 ¡À,,29.0611 ¡À,0.0016
,,,,,,,0.0016,,,
Acetylene,HCCH (g),,228.82,228.26,¡À 0.13,kJ/mol,26.0373 ¡À,,26.0373 ¡À,0.0016
,,,,,,,0.0016,,,
Nitric oxide,NO (g),,90.619,91.123,¡À 0.065,kJ/mol,30.00614 ¡À,,30.00614 ¡À,0.00031
,,,,,,,0.00031,,,
Chloromethane,CH3Cl (g),,-74.61,-82.54,¡À 0.19,kJ/mol,50.4872 ¡À,,50.4872 ¡À,0.0012
,,,,,,,0.0012,,,
Hydrogen cyanide,HCN (g),,129.661,129.276,¡À 0.090,kJ/mol,27.02538 ¡À,,27.02538 ¡À,0.00081
,,,,,,,0.00081,,,
Ammonia,NH3 (g),,-38.565,-45.557,¡À 0.030,kJ/mol,17.03056 ¡À,,17.03056 ¡À,0.00022
,,,,,,,0.00022,,,
Propene,CH3CHCH2 (g),,34.93,19.93,¡À 0.21,kJ/mol,42.0797 ¡À,,42.0797 ¡À,0.0024
,,,,,,,0.0024,,,
Nitrogen dioxide,ONO (g),,36.859,34.052,¡À 0.065,kJ/mol,46.00554 ¡À,,46.00554 ¡À,0.0006
,,,,,,,0.0006,,,
Hydroxyde,[OH]- (g),,-139.093,-139.06,¡À 0.027,kJ/mol,17.00789 ¡À,,17.00789 ¡À,0.00031
,,,,,,,0.00031,,,
Dioxidanyl,HO2 (g),,15.12,12.22,¡À 0.15,kJ/mol,33.00674 ¡À,,33.00674 ¡À,0.0006
,,,,,,,0.0006,,,
Hydrogen iodide,HI (g),,28.645,26.47,¡À 0.036,kJ/mol,127.912410 ¡À,,127.912410 ¡À,0.000076
,,,,,,,0.000076,,,
Fluoromethane,CH3F (g),,-227.45,-235.48,¡À 0.24,kJ/mol,34.03292 ¡À,,34.03292 ¡À,0.00083
,,,,,,,0.00083,,,
