CAS,Comment,Formula,IE,Method,Name,Refer
 7440-11-1,LL, Md,6.58,EVAL,Mendelevium,"Lide, 1992"
 7440-51-9,LL, Cm,6.02,EVAL,Curium,"Lide, 1992"
 7440-71-3,LL, Cf,6.3,EVAL,Californium,"Lide, 1992"
 10028-14-5,LL, No,6.65,EVAL,Nobelium,"Lide, 1992"
 7440-61-1,LL, U,6.19405,EVAL,uranium,"Lide, 1992"
 7440-73-5,LBLHLM, Fr,4.0712 ¡À 0.00004,S,Francium,"Andreev, Letokhov, et al., 1987"
 7440-24-6,LL, Sr,5.69484,EVAL,strontium,"Lide, 1992"
 7440-67-7,LL, Zr,6.6339,EVAL,zirconium,"Lide, 1992"
 12165-45-6,LLK, O,12.0 ¡À 0.2,EI,Tetratungsten dodecaoxide,"Bennett, Lin, et al., 1974"
 12503-98-9,LLK, O,11.8 ¡À 0.3,EI,Tetravanadium decaoxide,"Bennett, Lin, et al., 1974"
 16752-60-6,LLK, O,13.0 ¡À 0.5,EI,Tetraphosphorus decaoxide,"Smoes and Drowart, 1973"
 12036-21-4,LLK, O,12.7 ¡À 0.2,EI,vanadium dioxide,"Bennett, Lin, et al., 1974"
 37367-16-1,, Sb,9.8 ¡À 0.3,EI,Triantimony diselenide,"Sullivan, Prusaczyk, et al., 1970"
 37367-15-0,, Sb,9.6 ¡À 0.3,EI,Triantimony monoselenide,"Sullivan, Prusaczyk, et al., 1970"
 62462-71-9,, OTb,6.6 ¡À 0.8,EI,Diterbium monoxide,"Kordis and Gingerich, 1977"
 12137-18-7,LL, ORh,8.63 ¡À 0.43,END/DER,Rhodium monoxide,"Chen and Armentrout, 1995"
 35229-41-5,, O,9.1 ¡À 0.5,EI,Dilead dioxide,"Uy and Drowart, 1969"
 12035-91-5,LLK, OTb,6.1 ¡À 0.7,EI,Terbium monoxide,"Kordis and Gingerich, 1977"
 12036-05-4,, O,9.6 ¡À 0.5,EI,praseodymium dioxide,"Staley and Norman, 1969"
 12137-27-8,RDSH, O,10,EI,rhodium dioxide,"Norman, Staley, et al., 1964"
 7446-08-4,RDSH, O,11.5 ¡À 0.5,EI,Selenium(IV) oxide,"Ficalora, Thompson, et al., 1969"
