Molecule,name,State,Conformation,alpha,squib,commment,
H,Hydrogen atom,1S,Kh,0.667,1977Mil/Bed:1,,
He,Helium atom,1S,Kh,0.208,1997Oln/Can:59,,
Li,Lithium atom,2S,Kh,24.330,1977Mil/Bed:1,,
Be,Beryllium atom,1S,Kh,5.600,1977Mil/Bed:1,,
B,Boron atom,2P,Kh,3.030,1977Mil/Bed:1,,
C,Carbon atom,3P,Kh,1.760,1977Mil/Bed:1,,
N,Nitrogen atom,4S,Kh,1.100,1977Mil/Bed:1,,
O,Oxygen atom,3S,Kh,0.802,1977Mil/Bed:1,,
F,Fluorine atom,2P,Kh,0.557,1977Mil/Bed:1,,
Ne,Neon atom,1S,Kh,0.381,1997Oln/Can:59,,
Na,Sodium atom,2S,Kh,24.110,1997Oln/Can:59,,
Mg,Magnesium atom,1S,Kh,10.600,1977Mil/Bed:1,,
Al,Aluminum atom,2P,Kh,8.340,1977Mil/Bed:1,,
Si,Silicon atom,3P,Kh,5.380,1977Mil/Bed:1,,
P,Phosphorus atom,4S,Kh,3.630,1977Mil/Bed:1,,
S,Sulfur atom,3P,Kh,2.900,1977Mil/Bed:1,,
Cl,Chlorine atom,2P,Kh,2.180,1977Mil/Bed:1,,
Ar,Argon atom,1S,Kh,1.664,1997Oln/Can:59,,
K,Potassium atom,2S,Kh,43.400,1977Mil/Bed:1,,
Ca,Calcium atom,1S,Kh,22.800,1977Mil/Bed:1,,
Zn,Zinc atom,1S,Kh,5.750,1997Oln/Can:59,,
Br,Bromine atom,2P,Kh,3.050,1977Mil/Bed:1,,
Kr,Krypton atom,1S,Kh,2.498,1997Oln/Can:59,,
Xe,Xenon atom,1S,Kh,4.005,1997Oln/Can:59,,
H2,Hydrogen diatomic,1¦²g,D¡Þh,0.787,1997Oln/Can:59,,
H2+,Hydrogen cation,2¦²g+,D¡Þh,0.469,2000Jac/Kom:012509,,
HD,Deuterium hydride,1¦²g,D¡Þh,0.791,1997Oln/Can:59,,
D2,Deuterium diatomic,1¦²g,D¡Þh,0.783,1997Oln/Can:59,,
N2,Nitrogen diatomic,1¦²g,D¡Þh,1.710,1997Oln/Can:59,,
CO,Carbon monoxide,1¦²,C¡Þv,1.953,1997Oln/Can:59,,
NO,Nitric oxide,2¦°,C¡Þv,1.698,1997Oln/Can:59,,
O2,Oxygen diatomic,3¦²g,D¡Þh,1.562,1997Oln/Can:59,,
HF,Hydrogen fluoride,1¦²,C¡Þv,0.800,1998Gus/Rui:163,,
F2,Fluorine diatomic,1¦²g,D¡Þh,1.160,1998Gus/Rui:163,,
NaLi,lithium sodium,1¦²,C¡Þv,39.999,1972Gra/Dag:710,"alpha_s=40+-5, alpha_a=24+-2 A^3",
MgO,magnesium oxide,1¦²+,C¡Þv,1.750,1998Gus/Rui:163,,
HCl,Hydrogen chloride,1¦²,C¡Þv,2.515,1997Oln/Can:59,,
Cl2,Chlorine diatomic,1¦²g,D¡Þh,4.610,1997Oln/Can:59,,
CaO,Calcium monoxide,1¦²,C¡Þv,2.841,1998Gus/Rui:163,,
HBr,hydrogen bromide,1¦²,C¡Þv,3.616,1997Oln/Can:59,,
Br2,Bromine diatomic,1¦²g,D¡Þh,6.431,1997Oln/Can:59,,
HI,Hydrogen iodide,1¦²,C¡Þv,5.453,1997Oln/Can:59,,
BeH2,beryllium dihydride,1¦²g,D¡Þh,4.340,HCP_Polar,,
HCN,Hydrogen cyanide,1¦²,C¡Þv,2.593,1951LB1.3:509,,
H2O,Water,1A1,C2v,1.501,1997Oln/Can:59,,
N2O,Nitrous oxide,1¦²,C¡Þv,2.998,1997Oln/Can:59,,
CO2,Carbon dioxide,1¦²g,D¡Þh,2.507,1997Oln/Can:59,,
NO2,Nitrogen dioxide,2A1,C2v,2.910,1997Oln/Can:59,,
O3,Ozone,1A1,Cs,3.079,1998Gus/Rui:163,,
FCN,Cyanogen fluoride,1¦²,C¡Þv,2.550,1998Gus/Rui:163,,
H2S,Hydrogen sulfide,1A1,C2v,3.631,1997Oln/Can:59,,
OCS,Carbonyl sulfide,1¦²,C¡Þv,5.090,1998Gus/Rui:163,,
SO2,Sulfur dioxide,1A1,C2v,3.882,1951LB1.3:509,,
CS2,Carbon disulfide,1¦²g,D¡Þh,8.749,1951LB1.3:509,,
H2Se,Hydrogen selenide,1A1,C2v,4.770,1998Gus/Rui:163,,
CSe2,Carbon diselenide,1A1,D¡Þh,11.269,1998Gus/Rui:163,,
BrCN,Cyanogen bromide,1¦²,C¡Þv,5.824,1997Oln/Can:59,,
C2H2,Acetylene,1¦²g,D¡Þh,3.487,1997Oln/Can:59,,
NH3,Ammonia,1A1,C3v,2.103,1997Oln/Can:59,,
C2N2,Cyanogen,1¦²g,D¡Þh,5.015,1951LB1.3:509,,
H2CO,Formaldehyde,1A1,C2v,2.770,1997Oln/Can:59,,
BF3,"Borane, trifluoro-",1A',D3h,2.420,1998Gus/Rui:163,,
NF3,Nitrogen trifluoride,1A1,C3v,2.810,1998Gus/Rui:163,,
PH3,Phosphine,1A1,C3v,4.237,1997Oln/Can:59,,
PF3,Phosphorus trifluoride,1A1,C3v,4.414,1997Oln/Can:59,,
HCCCl,Chloroacetylene,1¦²,C¡Þv,6.070,HCP_Polar,,
CCl2O,Phosgene,1A1,C2v,6.790,1998Gus/Rui:163,,
BCl3,"Borane, trichloro-",1A1',D3h,8.700,1998Gus/Rui:163,,
PCl3,Phosphorus trichloride,1A1,C3v,10.634,1997Oln/Can:59,,
AsCl3,Arsenous trichloride,1A1,C3v,11.370,1998Gus/Rui:163,,
PBr3,Phosphorus tribromide,1A1,C3v,14.380,1998Gus/Rui:163,,
CH4,Methane,1A1,Td,2.448,1997Oln/Can:59,,
CH2CO,Ketene,1A1,C2v,4.400,1998Gus/Rui:163,,
HCOOH,Formic acid,1A',Cs,3.319,1984Gra/Gub,,
CH3F,Methyl fluoride,1A1,C3v,2.540,1997Oln/Can:59,,
CH2F2,"Methane, difluoro-",1A1,C2v,2.761,1998Gus/Rui:163,,
CHF3,"Methane, trifluoro-",1A1,C3v,2.801,1998Gus/Rui:163,,
CF4,Carbon tetrafluoride,1A1,Td,2.824,1997Oln/Can:59,,
SiH4,Silane,1A1,Td,4.777,1997Oln/Can:59,,
SiF4,Silicon tetrafluoride,1A1,Td,3.319,1998Gus/Rui:163,,
CH3Cl,Methyl chloride,1A1,C3v,4.416,1997Oln/Can:59,,
CH2FCl,fluorochloromethane,1A',Cs,4.509,1998Gus/Rui:163,,
CH2Cl2,Methylene chloride,1A1,C2v,6.659,1998Gus/Rui:163,,
CHF2Cl,difluorochloromethane,1A',Cs,4.440,1998Gus/Rui:163,,
CHFCl2,fluorodichloromethane,1A',Cs,6.611,1998Gus/Rui:163,,
CF3Cl,"Methane, chlorotrifluoro-",1A1,C3v,4.650,1998Gus/Rui:163,,
CHCl3,Chloroform,1A1,C3v,8.129,1998Gus/Rui:163,,
CF2Cl2,difluorodichloromethane,1A1,C2v,6.370,1997Oln/Can:59,,
CFCl3,Trichloromonofluoromethane,1A1,C3v,8.249,1998Gus/Rui:163,,
CCl4,Carbon tetrachloride,1A1,Td,10.002,1997Oln/Can:59,,
SiCl4,"Silane, tetrachloro-",1A1,Td,11.269,1998Gus/Rui:163,,
TiCl4,Titanium tetrachloride,1A1,Td,15.001,1998Gus/Rui:163,,
GeF4,Germanium tetrafluoride,1A1,Td,4.050,1998Gus/Rui:163,,
GeCl4,Germanium Tetrachloride,1A1,Td,12.490,1998Gus/Rui:163,,
CH3Br,methyl bromide,1A1,C3v,5.610,1984Gra/Gub,,
CF3Br,Bromotrifluoromethane,1A1,C3v,5.650,1998Gus/Rui:163,,
CH2Br2,dibromomethane,1A1,C2v,8.680,1990Mil:8533,,
CHBr3,bromoform,1A1,C3v,11.840,1998Gus/Rui:163,,
CH3I,methyl iodide,1A1,C3v,7.325,1997Oln/Can:59,,
C2H4,Ethylene,1Ag,D2h,4.188,1997Oln/Can:59,,
C4H2,Diacetylene,1¦²g,D¡Þh,6.811,1998Gus/Rui:163,,
N2H4,Hydrazine,1A,C2,3.460,1998Gus/Rui:163,,
CH3CN,Acetonitrile,1A1,C3v,4.280,1998Gus/Rui:163,,
CH3OH,Methyl alcohol,1A',Cs,3.210,1998Gus/Rui:163,,
CHONH2,formamide,1A',Planar,4.080,1998Gus/Rui:163,,
PF5,Phosphorus pentafluoride,1A1',D3h,3.650,1998Gus/Rui:163,,
CH2CHCl,"Ethene, chloro-",1A',Cs,6.410,HCP_Polar,,
CH2CCl2,"Ethene, 1,1-dichloro-",1A1,C2v,7.830,1998Gus/Rui:163,,
CHClCHCl,"Ethene, 1,2-dichloro-, (Z)-",1A1,C2v,8.030,1998Gus/Rui:163,,
CHClCHCl,"Ethene, 1,2-dichloro-, (E)-",1Ag,C2h,8.150,1998Gus/Rui:163,,
CHClCCl2,Trichloroethylene,1A',Cs,9.751,1998Gus/Rui:163,,
C2H3Br,vinyl bromide,1A',Cs,7.590,HCP_Polar,,
CH2CCH2,allene,1A1,D2d,5.690,1984Gra/Gub,,
CH3CCH,propyne,1A',C3v,5.550,1998Gus/Rui:163,,
CH3NH2,methyl amine,1A',Cs,3.754,1997Oln/Can:59,,
C3H2N2,Malononitrile,1A1,Cs,5.790,1998Gus/Rui:163,,
CH3CHO,Acetaldehyde,1A',Cs,4.278,1997Oln/Can:59,,
C2H4O,Ethylene oxide,1A1,C2v,4.431,1998Gus/Rui:163,,
CH3NO2,"Methane, nitro-",1A',Cs,4.800,1998Gus/Rui:163,,
C2H4S,Thiirane,1A1,C2v,6.910,1998Gus/Rui:163,,
SF6,Sulfur Hexafluoride,1A1G,Oh,4.490,1998Gus/Rui:163,,
CCl3CHO,trichloroacetaldehyde,1A',Cs,10.500,1998Gus/Rui:163,,
SeF6,Selenium hexafluoride,1A1G,Oh,5.320,1998Gus/Rui:163,,
C2H6,Ethane,1A1g,D3d,4.226,1997Oln/Can:59,,
CH2CHCHO,Acrolein,1A',Cs,6.379,1998Gus/Rui:163,,
