Name,Formula,T/K,Cp¡ã,S¡ã, -[G¡ã-H¡ã(Tr)]/T,H-H¡ã(Tr),fH¡ã,fG¡ã,log Kf
Boron Carbide (B4C),C1B4(cr),298.15,53.764,27.175,27.175,0.,-62.676,-62.109,10.881
Boron Carbide (B4C),C1B4(l),298.15,53.764,69.426,69.426,0.,51.885,39.855,-6.982
"Carbon, Ion (C+)",C1+(g),298.15,20.974,154.662,154.662,0.,1809.435,1758.779,-308.131
Beryllium Carbide (Be2C),C1Be2(cr),298.15,43.250,16.318,16.318,0.,-90.793,-88.317,15.473
Carbon (C),C1(g),298.15,20.838,158.100,158.100,0.,716.670,671.244,-117.599
Beryllium Carbide (Be2C),"C1Be2(cr,l)",298.15,43.250,16.318,16.318,0.,-90.793,-88.317,15.473
Boron Carbide (BC),C1B1(g),298.15,29.700,208.555,208.555,0.,828.432,769.702,-134.849
Beryllium Carbide (Be2C),C1Be2(l),298.15,43.250,47.467,47.467,0.,-15.893,-22.704,3.978
Boron Carbide (B4C),"C1B4(cr,l)",298.15,53.764,27.175,27.175,0.,-62.676,-62.109,10.881
Aluminum Carbide (AlC),C1Al1(g),298.15,32.256,223.449,223.449,0.,689.523,633.044,-110.907
Tetrabromomethane (CBr4),C1Br4(g),298.15,91.180,358.095,358.095,0.,50.208,35.914,-6.292
Bromomethylidyne (CBr),C1Br1(g),298.15,36.041,233.452,233.452,0.,510.448,465.246,-81.509
Bromotrifluoromethane (CBrF3),C1Br1F3(g),298.15,69.330,297.827,297.827,0.,-648.938,-622.641,109.084
Carbonic Chloride Fluoride (COClF),C1Cl1F1O1(g),298.15,52.396,277.012,277.012,0.,-426.768,-413.579,72.457
Cyanogen Chloride (ClCN),C1Cl1N1(g),298.15,45.271,236.334,236.334,0.,137.946,131.015,-22.953
Chlorotrifluoromethane (CClF3),C1Cl1F3(g),298.15,66.887,285.353,285.353,0.,-707.933,-667.351,116.917
Carbonyl Chloride (COCl),C1Cl1O1(g),298.15,45.072,265.965,265.965,0.,-62.760,-76.508,13.404
Carbonic Dichloride (COCl2),C1Cl2O1(g),298.15,57.695,283.796,283.796,0.,-220.078,-205.887,36.071
Trichloromethyl (CCl3),C1Cl3(g),298.15,63.649,296.833,296.833,0.,79.496,92.473,-16.201
Triclorofluormethane (CCl3F),C1Cl3F1(g),298.15,78.018,309.735,309.735,0.,-288.696,-249.335,43.682
Tetrachloromethane (CCl4),C1Cl4(g),298.15,83.401,309.809,309.809,0.,-95.981,-53.617,9.393
Copper Cyanide (CuCN),C1Cu1N1(cr),298.15,61.024,90.002,90.002,0.,94.977,108.306,-18.975
Fluoromethylidyne (CF),C1F1(g),298.15,30.060,213.033,213.033,0.,255.224,223.650,-39.183
Dichlorodifluoromethane (CCl2F2),C1Cl2F2(g),298.15,72.404,300.897,300.897,0.,-491.620,-452.648,79.302
"Fluoromethylidyne, Ion (CF+)",C1F1+(g),298.15,29.641,201.507,201.507,0.,1149.416,1115.024,-195.348
Cyanogen Fluoride (FCN),C1F1N1(g),298.15,42.312,225.403,225.403,0.,35.982,29.285,-5.131
Carbonyl Fluoride (COF),C1F1O1(g),298.15,38.930,248.479,248.479,0.,-171.544,-183.103,32.079
"Difluoromethylene, Ion (CF2+)",C1F2+(g),298.15,38.754,246.769,246.769,0.,941.793,924.137,-161.905
Carbonic Difluoride (COF2),C1F2O1(g),298.15,47.255,258.887,258.887,0.,-638.897,-623.329,109.205
Trifluoromethyl (CF3),C1F3(g),298.15,49.804,265.082,265.082,0.,-470.282,-456.912,80.049
"Trifluoromethyl, Ion (CF3+)",C1F3+(g),298.15,49.645,254.532,254.532,0.,421.007,431.267,-75.556
Trifluoriodomethane (CIF3),C1F3I1(g),298.15,70.940,307.629,307.629,0.,-589.107,-571.109,100.056
Tetrafluoromethane (CF4),C1F4(g),298.15,61.054,261.419,261.419,0.,-933.199,-888.507,155.663
Difluoromethylene (CF2),C1F2(g),298.15,38.948,240.833,240.833,0.,-182.004,-191.635,33.574
Pentafluoro(Trifluoromethyl)Sulfur (CF3SF5),C1F8S1(g),298.15,139.222,379.967,379.967,0.,-1717.051,-1577.222,276.323
Methylidyne (CH),C1H1(g),298.15,29.171,183.040,183.040,0.,594.128,560.747,-98.241
Trifluoromethyl Hypofluorite (CF3OF),C1F4O1(g),298.15,79.354,322.533,322.533,0.,-764.835,-707.781,124.000
Chloromethylene (CHCl),C1H1Cl1(g),298.15,36.737,234.912,234.912,0.,334.720,319.129,-55.910
Chlorodifluoromethane (CHClF2),C1H1Cl1F2(g),298.15,57.126,280.968,280.968,0.,-481.578,-450.439,78.915
Dichlorofluoromethane (CHCl2F),C1H1Cl2F1(g),298.15,60.995,293.260,293.260,0.,-283.257,-252.758,44.282
Trichloromethane (CHCl3),C1H1Cl3(g),298.15,65.383,295.620,295.620,0.,-103.177,-70.357,12.326
Fluoromethylene (CHF),C1H1F1(g),298.15,34.604,223.348,223.348,0.,125.520,110.352,-19.333
Formyl Fluoride (HCOF),C1H1F1O1(g),298.15,40.414,246.520,246.520,0.,-376.560,-368.054,64.482
Trifluoromethane (CHF3),C1H1F3(g),298.15,51.040,259.657,259.657,0.,-697.054,-662.586,116.082
Hydrogen Cyanide (HCN),C1H1N1(g),298.15,35.857,201.828,201.828,0.,135.143,124.725,-21.851
Hydrogen Isocyanate (HNCO),C1H1N1O1(g),298.15,45.043,238.228,238.228,0.,-101.671,-92.360,16.181
Formyl (HCO),C1H1O1(g),298.15,34.597,224.649,224.649,0.,43.514,28.309,-4.960
"Formyl, Ion (HCO+)",C1H1O1+(g),298.15,35.963,203.417,203.417,0.,833.034,817.906,-143.294
Methinophosphide (CHP),C1H1P1(g),298.15,37.166,215.062,215.062,0.,149.900,119.219,-20.887
Methylene (CH2),C1H2(g),298.15,34.600,193.931,193.931,0.,386.392,369.245,-64.690
Chlorofluoromethane (CH2ClF),C1H2Cl1F1(g),298.15,47.037,264.421,264.421,0.,-261.918,-236.595,41.451
Dichloromethane (CH2Cl2),C1H2Cl2(g),298.15,50.896,270.293,270.293,0.,-95.521,-68.924,12.075
Difluoromethane (CH2F2),C1H2F2(g),298.15,42.859,246.698,246.698,0.,-450.659,-423.076,74.121
Formaldehyde (H2CO),C1H2O1(g),298.15,35.402,218.950,218.950,0.,-115.897,-109.921,19.258
Methyl (CH3),C1H3(g),298.15,38.693,194.170,194.170,0.,145.687,147.950,-25.920
Chloromethane (CH3Cl),C1H3Cl1(g),298.15,40.731,234.367,234.367,0.,-83.680,-60.146,10.537
Potassium Cyanide (KCN),C1K1N1(cr),298.15,66.391,127.780,127.780,0.,-113.470,-102.011,17.872
Potassium Cyanide (KCN),"C1K1N1(cr,l)",298.15,66.391,127.780,127.780,0.,-113.470,-102.011,17.872
Carbon (C),C1(ref),298.15,8.517,5.740,5.740,0.,0.,0.,0.
Niobium Carbide (NbC0.98),C0.98Nb1(cr),298.15,36.233,34.966,34.966,0.,-138.909,-136.785,23.964
Potassium Cyanide (KCN),C1K1N1(g),298.15,50.857,253.146,253.146,0.,79.496,53.578,-9.387
Cyanogen Bromide (BrCN),C1Br1N1(g),298.15,47.124,248.363,248.363,0.,186.188,165.104,-28.926
Chloromethylidyne (CCl),C1Cl1(g),298.15,32.254,224.516,224.516,0.,502.080,470.108,-82.361
"Carbon, Ion (C-)",C1-(g),298.15,20.786,151.384,151.384,0.,588.284,551.115,-96.553
Dichloromethylene (CCl2),C1Cl2(g),298.15,46.249,265.346,265.346,0.,238.488,227.598,-39.874
"Methylidyne, Ion (CH+)",C1H1+(g),298.15,29.153,171.671,171.671,0.,1626.739,1596.748,-279.744
Potassium Carbonate (K2CO3),C1K2O3(l),298.15,114.437,170.373,170.373,0.,-1130.609,-1049.385,183.848
Potassium Carbonate (K2CO3),"C1K2O3(cr,l)",298.15,114.437,155.519,155.519,0.,-1150.182,-1064.528,186.501
Lithium Carbonate (Li2CO3),C1Li2O3(cr),298.15,96.232,90.171,90.171,0.,-1216.038,-1132.120,198.343
Lithium Carbonate (Li2CO3),C1Li2O3(l),298.15,96.232,130.567,130.567,0.,-1175.083,-1103.210,193.278
Lithium Carbonate (Li2CO3),"C1Li2O3(cr,l)",298.15,96.232,90.171,90.171,0.,-1216.038,-1132.120,198.343
Magnesium Carbonate (MgCO3),C1Mg1O3(cr),298.15,76.210,65.854,65.854,0.,-1111.689,-1028.124,180.123
Cyanogen (CN),C1N1(g),298.15,29.154,202.638,202.638,0.000,435.136,404.995,-70.953
"Cyanogen, Ion (CN+)",C1N1+(g),298.15,29.431,213.437,213.437,0.,1802.760,1763.145,-308.896
Sodium Cyanide (NaCN),C1N1Na1(cr),298.15,68.681,118.467,118.467,0.,90.709  80.413 14.088,,
Sodium Cyanide (NaCN),C1N1Na1(l),298.15,68.680,125.507,125.507,0.,-84.398,-76.201,13.350
Sodium Cyanide (NaCN),"C1N1Na1(cr,l)",298.15,68.681,118.467,118.467,0.,90.709  80.413 14.088,,
Sodium Cyanide (NaCN),C1N1Na1(g),298.15,50.178,243.367,243.367,0.,94.266,67.323,-11.795
NCO Radical (NC101),C1N1O1(g),298.15,40.053,232.248,232.248,0.,159.410,151.024,-26.459
Trichloromethylsilane (SiCH3Cl3),C1H3Cl3Si1(g),298.15,102.382,351.147,351.147,0.,-528.858,-409.577,71.756
NCN Radical (NCN),C1N2(g),298.15,42.192,226.203,226.203,0.,472.792,464.189,-81.324
Carbon Monoxide (CO),C1O1(g),298.15,29.142,197.653,197.653,0.000,-110.527,-137.163,24.030
Sodium Carbonate (NaCO3),"C1Na2O3(cr,l)",298.15,111.003,138.797,138.797,0.,-1130.768,-1048.009,183.607
Carbon Oxide Sulfide (COS),C1O1S1(g),298.15,41.497,231.581,231.581,0.,-138.407,-165.601,29.013
Fluoromethane (CH3F),C1H3F1(g),298.15,37.500,222.843,222.843,0.,-234.304,-210.359,36.854
CNN Radical (CNN),C1N2(g),298.15,42.281,231.716,231.716,0.,584.505,574.258,-100.608
Carbon Dioxide (CO2),C1O2(g),298.15,37.129,213.795,213.795,0.,-393.522,-394.389,69.095
Methane (CH4),C1H4(g),298.15,35.639,186.251,186.251,0.,-74.873,-50.768,8.894
Cyanogen Iodide (CNI),C1I1N1(g),298.15,48.420,257.340,257.340,0.,225.936,196.800,-34.478
Carbon Phosphide (CP),C1P1(g),298.15,29.910,216.255,216.255,0.,449.893,399.375,-69.969
Carbon Sulfide (CS),C1S1(g),298.15,29.798,210.554,210.554,0.,280.328,228.820,-40.088
Carbon Disulfide (CS2),C1S2(g),298.15,45.664,237.977,237.977,0.,116.943,66.816,-11.706
"Carbon Dioxide, Ion (CO2-)",C1O2-(g),298.15,36.593,240.648,240.648,0.,-441.412,-444.030,77.792
"Silicon Carbide, Alpha (SiC)",C1Si1(cr),298.15,26.761,16.485,16.485,0.,-71.546,-69.139,12.113
Silicon Carbide (SiC),C1Si1(g),298.15,38.417,213.044,213.044,0.,719.648,663.452,-116.234
Trifluoromethylsilane (SiCH3F3),C1H3F3Si1(g),298.15,90.876,314.202,314.202,0.,-1232.711,-1111.489,194.728
Silicon Carbide (Si2C),C1Si2(g),298.15,47.424,242.286,242.286,0.,535.552,476.248,-83.437
Tantalum Carbide (TaC),C1Ta1(cr),298.15,36.790,42.373,42.373,0.,-144.097,-142.654,24.992
Tantalum Carbide (TaC),"C1Ta1(cr,l)",298.15,36.790,42.373,42.373,0.,-144.097,-142.654,24.992
Titanium Carbide (TiC),C1Ti1(l),298.15,33.807,47.401,47.401,0.,-108.334,-111.585,19.549
Titanium Carbide (TiC),"C1Ti1(cr,l)",298.15,33.807,24.229,24.229,0.,-184.096,-180.438,31.612
Zirconium Carbide (ZrC),C1Zr1(cr),298.15,37.899,33.321,33.321,0.,-196.648,-193.282,33.862
Zirconium Carbide (ZrC),C1Zr1(l),298.15,37.899,53.577,53.577,0.,-118.877,-121.550,21.295
Titanium Carbide (TiC),C1Ti1(cr),298.15,33.807,24.229,24.229,0.,-184.096,-180.438,31.612
"Silicon Carbide, Beta (SiC)",C1Si1(cr),298.15,26.840,16.610,16.610,0.,-73.220,-70.850,12.413
Carbon (C2),C2(g),298.15,43.145,199.382,199.382,0.,837.737,781.714,-136.953
Zirconium Carbide (ZrC),"C1Zr1(cr,l)",298.15,37.899,33.321,33.321,0.,-196.648,-193.282,33.862
Beryllium Carbide (BeC2),C2Be1(g),298.15,41.282,218.643,218.643,0.,564.840,505.889,-88.630
Potassium Cyanide (KCN),C1K1N1(l),298.15,75.312,134.321,134.321,0.,-104.148,-94.638,16.580
Dichloroethyne (C2Cl2),C2Cl2(g),298.15,65.573,272.027,272.027,0.,209.618,198.448,-34.767
Hexachloroethane (C2Cl6),C2Cl6(g),298.15,138.934,397.880,397.880,0.,-134.223,-49.894,8.741
Chromium Carbide (Cr3C2),C2Cr3(cr),298.15,99.299,85.434,85.434,0.,-85.354,-86.277,15.115
Difluoroethyne (C2F2),C2F2(g),298.15,56.935,244.060,244.060,0.,20.920,12.038,-2.109
Tetrachloroethene (C2Cl4),C2Cl4(g),298.15,95.546,343.421,343.421,0.,-12.426,21.628,-3.789
Trifluoroacetonitrile (CF3CN),C2F3N1(g),298.15,78.255,298.533,298.533,0.,-495.386,-461.713,80.890
Hexafluoroethane (C2F6),C2F6(g),298.15,106.407,332.185,332.185,0.,-1343.901,-1258.134,220.420
Tetrafluoroethene (C2F4),C2F4(g),298.15,80.458,300.015,300.015,0.,-658.562,-623.665,109.263
Ethynyl (C2H),C2H1(g),298.15,37.104,207.444,207.444,0.,476.976,438.031,-76.741
Fluoroethyne (C2HF),C2H1F1(g),298.15,52.321,231.611,231.611,0.,125.520,109.600,-19.201
Ethyne (C2H2),C2H2(g),298.15,44.095,200.958,200.958,0.000,226.731,209.200,-36.651
Chloroethyne (C2HCl),C2H1Cl1(g),298.15,54.319,241.996,241.996,0.,213.802,197.811,-34.656
Ethene (C2H4),C2H4(g),298.15,42.886,219.330,219.330,0.,52.467,68.421,-11.987
Potassium Cyanide ((KCN)2),C2K2N2(g),298.15,110.262,373.129,373.129,0.,-8.368,-20.502,3.592
Lithium Carbide (Li2C2),C2Li2(cr),298.15,71.546,58.576,58.576,0.000,-59.413,-56.111,9.830
Magnesium Carbide (MgC2),C2Mg1(cr),298.15,56.233,54.392,54.392,0.000,87.864,84.811,-14.859
CNC Radical (C2N),C2N1(g),298.15,45.751,230.905,230.905,0.,556.472,519.615,-91.034
Oxirane (C2H4O),C2H4O1(g),298.15,47.901,243.012,243.012,0.,-52.635,-13.159,2.305
Sodium Cyanide ((NaCN)2),C2N2Na2(g),298.15,107.686,347.102,347.102,0.,-8.786,-21.041,3.686
Ethanedinitrile ((CN)2),C2N2(g),298.15,56.746,241.565,241.565,0.,309.072,297.601,-52.138
Carbon (C3),C3(g),298.15,37.740,237.246,237.246,0.,820.064,754.464,-132.179
Chromium Carbide (Cr7C3),C3Cr7(cr),298.15,209.748,200.983,200.983,0.,-160.666,-166.161,29.111
Magnesium Carbide (Mg2C3),C3Mg2(cr),298.15,93.763,100.416,100.416,0.,79.496,74.173,-12.995
Carbon Suboxide (C3O2),C3O2(g),298.15,66.989,276.071,276.071,0.,-93.638,-109.649,19.210
Tetramethylsilane (Si(CH3)4),C4H12Si1(g),298.15,138.574,361.189,361.189,0.,-286.604,-148.063,25.940
Potassium Carbonate (K2CO3),C1K2O3(cr),298.15,114.437,155.519,155.519,0.,-1150.182,-1064.528,186.501
Nickel Carbonyl (Ni(CO)4),C4Ni1O4(l),298.15,203.342,319.560,319.560,0.,-631.784,-588.980,103.187
Cyanide (CN-),C1N1-(g),298.15,29.133,195.976,195.976,0.,60.668,38.768,-6.792
Carbon (C4),C4(g),298.15,50.176,228.322,228.322,0.,970.688,909.460,-159.334
Carbon (C5),C5(g),298.15,61.135,241.972,241.972,0.,979.056,915.470,-160.387
Sodium Carbonate (Na2CO3),C1Na2O3(cr),298.15,111.003,138.797,138.797,0.,-1130.768,-1048.009,183.607
Nickel Carbonyl (Ni(CO)4),C4Ni1O4(g),298.15,149.289,415.507,415.507,0.,-601.576,-587.378,102.906
Iron Carbonyl (Fe(CO)5),C5Fe1O5(g),298.15,170.703,439.286,439.286,0.,-727.849,-689.207,120.746
Iron Carbonyl (Fe(CO)5),C5Fe1O5(l),298.15,233.785,337.078,337.078,0.,-766.090,-696.975,122.107
Sodium Carbonate (Na2CO3),C1Na2O3(l),298.15,111.002,156.423,156.423,0.,-1108.515,-1031.011,180.629
Chromium Carbide (Cr23C6),C6Cr23(cr),298.15,628.152,612.044,612.044,0.,-328.444,-338.693,59.338
Tantalum Carbide (TaC),C1Ta1(l),298.15,36.790,68.279,68.279,0.,-33.955,-40.236,7.049
"Carbon, Ion (C2-)",C2-(g),298.15,29.241,196.597,196.597,0.,443.504,394.566,-69.126
CCO Radical (C2O),C2O1(g),298.15,43.064,233.066,233.066,0.,286.604,251.121,-43.995
Silicon Carbide (SiC2),C2Si1(g),298.15,45.611,236.731,236.731,0.,615.048,553.501,-96.971
Aluminum Carbide (Al4C3),C3Al4(cr),298.15,116.784,88.969,88.969,0.,-215.685,-203.356,35.627
2-Butynedinitrile (C4N2),C4N2(g),298.15,85.888,290.112,290.112,0.,533.460,510.937,-89.514
Hydrogen (H),H1(g),298.15,20.786,114.716,114.716,0.,217.999,203.278,-35.613
"Hydrogen, Ion (H+)",H1+(g),298.15,20.786,108.946,108.946,0.,1536.246,1516.990,-265.770
"Hydrogen, Ion (H-)",H1-(g),298.15,20.786,108.960,108.960,0.,139.032,132.282,-23.175
Triiodosilane (SiHI3),H1I3Si1(g),298.15,83.884,375.009,375.009,0.,-74.475,-109.250,19.140
Hydrogen Iodide (HI),H1I1(g),298.15,29.156,206.589,206.589,0.,26.359,1.560,-0.273
Potassium Hydroxide (KOH),"H1K1O1(cr,l)",298.15,64.894,78.907,78.907,0.,-424.718,-378.899,66.382
Potassium Hydride (KH),H1K1(cr),298.15,37.907,50.208,50.208,0.,-57.820,-53.010,9.287
Potassium Hydroxide (KOH),H1K1O1(g),298.15,48.531,236.379,236.379,0.,-232.630,-233.762,40.954
Lithium Hydride (LiH),H1Li1(cr),298.15,27.957,20.037,20.037,0.,-90.625,-68.447,11.992
